EntrezID	Community
22685	1
245522	1
13709	1
14634	1
106298	1
239102	1
18616	1
19720	1
17129	1
97165	1
20183	1
13436	1
13653	1
433182	1
12402	1
14011	1
20230	1
14009	1
19183	1
18612	1
15361	1
23849	1
52231	2
12913	2
21769	2
246196	2
18771	2
18999	2
56458	2
142682	2
22680	2
19009	2
71041	2
50524	2
58198	2
72693	2
74164	2
71950	2
55927	2
102162	2
66863	2
68310	2
21780	2
18424	2
18514	2
58208	2
14472	2
211586	2
50794	2
66855	2
15191	2
76893	2
22704	2
231986	2
11910	2
11820	2
104156	2
67302	2
11568	2
104394	2
68479	2
12396	2
243983	2
75605	2
104383	2
23942	2
12705	2
329003	2
15901	2
116870	2
52502	2
22689	2
14025	2
233490	2
332221	2
320158	2
21849	3
22772	3
16842	3
11911	3
21414	3
218772	3
21350	3
16201	3
18021	3
21807	3
18045	3
17684	3
21815	3
13017	3
20466	3
20893	3
22608	3
18813	3
15213	3
68750	3
16468	3
70650	3
12014	3
22773	3
81703	3
26940	3
73754	4
67917	4
227656	4
210719	4
269023	4
242466	4
193452	4
99377	4
228876	4
103836	4
74318	4
213753	4
228839	4
277353	4
101994	4
22286	4
217031	4
22687	4
